#{"t_start": 1760695127.333002, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-423.613937,81,1.980706
-1031.593274,87,3.56323
-725.314777,87,5.117627
-682.256612,77,6.296041
-221.601916,265,12.192758
-340.326362,352,21.486043
-272.549108,376,33.55094
-161.581169,400,46.725027
-475.882657,776,110.759751
-111.760631,1000,172.351955
-214.612255,607,209.779397
-146.586869,364,235.475438
-184.877076,1000,301.041663
-56.059077,90,306.497608
-41.629262,244,319.017006
-118.140454,527,342.540566
-137.467205,586,367.100133
-181.861822,723,398.7452
-51.377924,225,407.696108
-67.532532,825,449.570438
-62.385198,186,460.164613
-35.023733,427,481.732507
-250.730887,393,500.466686
-56.039018,392,519.171087
-283.591598,774,558.755374
-115.817902,629,593.261015
-163.728887,644,625.354017
-101.026687,294,638.653132
-231.20756,869,684.49843
-178.861788,493,709.045393
-211.399509,637,742.236153
-79.877893,151,750.108746
-173.694686,1000,813.511462
0.413869,1000,884.070593
-31.836358,1000,958.564767
-64.894978,1000,1036.198547
-113.839205,1000,1109.869155
8.114901,1000,1181.40973
-156.736825,1000,1253.048119
-119.684131,1000,1340.166758
-37.03482,1000,1424.215687
-50.743393,1000,1495.020033
-81.021225,1000,1562.262581
246.066283,622,1601.558808
5.033492,1000,1660.072534
-4.992696,1000,1713.062918
-162.461141,1000,1764.567906
-87.514902,1000,1811.087158
246.950406,511,1838.182923
-79.455943,1000,1902.670481
133.442895,883,1960.068862
323.25501,228,1973.1656
191.40132,435,1999.770651
-32.97747,1000,2053.228109
-14.059437,1000,2110.512933
-21.03082,1000,2169.868737
-14.431234,1000,2230.445308
13.759986,1000,2293.632271
264.165372,178,2305.075195
-59.94762,1000,2389.726122
-69.424372,1000,2470.082549
29.249793,208,2485.159035
-20.528493,1000,2547.022558
-7.847418,101,2550.089052
-13.838618,135,2560.766839
-123.217745,155,2568.304791
205.975007,229,2582.980219
132.524319,793,2630.789207
-280.889478,470,2660.312057
-30.305298,1000,2709.852158
240.019019,268,2720.967058
204.826826,554,2746.04776
243.546808,290,2760.852021
35.521618,132,2766.680793
-200.571637,759,2801.556308
236.949256,204,2809.625385
10.946182,74,2813.805999
130.857992,890,2855.400187
-28.2445,1000,2905.736089
220.392334,327,2921.412856
270.783407,351,2936.732767
