#{"t_start": 1760695127.3364027, "env_id": "None"}
r,l,t
-207.49384,61,1.675487
-388.54407,80,1.963231
-423.61398,81,1.977996
-428.0532,86,2.055556
-536.70703,88,2.085306
-598.8748,93,2.161142
-619.9295,76,3.074006
-750.36224,62,3.275243
-837.12726,74,3.438414
-997.1624,88,3.560464
-1031.593,87,3.560512
-800.9878,85,3.711118
-628.3614,74,4.224993
-670.81805,73,4.561613
-702.84546,84,4.580345
-485.63416,70,4.637842
-725.31476,87,5.114916
-524.6117,71,5.536392
-560.5286,65,5.790713
-583.6124,73,5.899177
-774.50824,91,6.245726
-682.25665,77,6.293444
-1233.4005,181,6.776367
-229.76338,89,6.959596
-341.1795,193,9.72348
-76.72482,172,11.207408
-463.92395,256,11.575468
-221.60193,265,12.190858
-97.1057,283,12.438175
-220.35428,203,14.534201
-318.37012,246,17.373081
-331.9657,236,17.561701
-372.68286,198,17.813721
-320.6247,504,18.941852
-340.32632,352,21.484047
-371.859,255,21.50677
-395.57065,158,23.840321
-377.8236,253,24.445238
-378.6205,269,24.58298
-88.015175,328,27.754965
-272.54913,376,33.549577
-127.77423,557,39.719604
-90.719795,520,40.452526
-188.0922,495,40.549536
-125.20189,511,41.011259
-60.856743,448,41.3259
-161.58118,400,46.726141
-193.36368,483,62.017274
-272.98297,695,91.669493
-585.31793,854,102.239732
-315.99225,489,106.302387
-475.88257,776,110.764891
-149.59938,1000,112.789595
-253.89363,145,112.942592
-171.0025,1000,114.628658
-262.96753,173,118.848273
4.33432,182,125.685284
-289.93823,539,126.770921
-116.94154,336,132.182689
-260.2378,556,157.677854
-200.33046,669,168.10768
-111.76066,1000,172.355551
-304.39874,978,173.187859
-120.65794,1000,180.735741
-536.8978,810,182.107652
-294.1432,532,191.306688
-94.2065,514,201.17403
-152.83237,362,205.750005
-214.61226,607,209.779274
-157.98322,212,217.88123
-146.58685,364,235.478271
-118.61413,1000,241.449118
-218.09433,686,242.347018
-202.2685,960,250.055548
-225.27188,690,251.178875
-264.62866,192,253.251352
-180.53123,571,259.507042
-310.9762,255,265.848364
-370.98828,268,267.5723
-149.94662,657,282.564318
-32.845055,89,290.125483
-175.52078,595,293.086771
-45.810043,70,293.541844
-84.809204,566,294.626297
-58.79213,86,299.136565
-97.009605,488,299.434837
-184.87712,1000,301.044647
-391.51447,224,306.16216
-288.48175,129,306.459635
-56.059082,90,306.500931
-285.59607,174,307.923829
-459.05286,794,313.720517
-4.2491455,167,314.854981
-66.7513,232,318.284176
-41.629276,244,319.016565
-98.65415,449,319.227362
-44.63073,257,320.582883
-68.862854,79,320.814398
-137.33397,170,324.127706
-101.34766,94,326.002172
-171.75383,235,331.132025
-95.35493,385,332.304108
-20.709389,164,338.441702
-46.846645,317,340.802726
-118.14047,527,342.538791
-139.10114,538,345.672498
-135.35646,513,346.190875
-155.39711,244,348.418191
-128.82687,319,352.747162
-102.818,337,358.116824
-166.0575,689,358.295778
-163.64542,266,363.521494
-133.04762,187,367.061593
