#{"t_start": 1760695127.3420727, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-212.918946,87,2966.370584
-564.68757,62,2968.132111
-131.193512,62,2969.507782
-99.470021,60,2971.201765
-148.09845,70,2972.772682
-196.750802,86,2975.082594
-26.469042,125,2978.32795
-147.114149,66,2979.818947
-142.849031,57,2981.48398
-217.542814,69,2983.103498
-107.470109,94,2986.675061
-168.017025,490,3014.460709
-212.618392,212,3028.770582
-192.58718,193,3038.085996
-144.125892,163,3045.223814
-276.390381,174,3051.072836
-223.716057,209,3059.633376
-182.886238,176,3065.524563
-165.805077,226,3074.153716
-380.269734,234,3083.000599
-108.702697,370,3098.337677
-98.453791,367,3114.467259
-145.651622,232,3124.103434
-44.87453,285,3134.896816
-179.504033,379,3152.421586
-320.658689,336,3169.798048
-206.829778,281,3183.403749
-87.411706,596,3219.825795
-95.697634,1000,3292.518001
-163.485223,656,3337.769214
158.111165,669,3377.842906
-4.905735,301,3401.172598
-116.563948,955,3454.580455
-28.69607,274,3466.175703
-28.82137,261,3478.56708
-221.493445,383,3496.172472
196.388025,573,3523.749174
-154.076352,662,3557.039679
181.112761,768,3601.000728
1.353868,445,3622.196494
219.615344,381,3640.315976
282.54556,329,3654.521113
9.540237,314,3666.235931
7.807302,140,3671.977438
27.704219,128,3677.175181
215.328686,571,3701.789608
-20.748418,75,3705.372876
194.759545,474,3725.154729
240.128964,362,3741.421423
181.89091,440,3762.205166
-92.191824,347,3777.79033
-50.240203,312,3790.967639
35.530759,144,3797.215998
-78.058967,268,3809.781042
66.540637,149,3817.990537
23.93792,297,3830.360272
231.388039,409,3849.13739
-65.569613,486,3873.634865
43.180628,225,3884.963779
-117.64159,489,3910.994934
43.829317,359,3932.372531
-52.420038,392,3950.828833
-113.346731,427,3968.864947
-69.088911,340,3982.647601
-92.930055,255,3993.146522
-84.208979,473,4013.71771
72.821752,157,4020.304415
-34.740765,390,4039.482832
197.411136,350,4057.16862
270.216214,336,4076.721982
-20.549688,1000,4139.071636
-89.277278,308,4158.092326
43.142067,258,4175.378453
-78.921336,1000,4231.306888
-106.566707,180,4241.85148
-109.271409,149,4248.81088
59.59092,159,4256.511235
-157.309238,640,4288.583982
-60.343652,1000,4344.497065
-56.397676,1000,4407.494719
158.095505,712,4455.061015
67.050983,156,4467.580437
-107.192419,680,4543.564081
-64.266102,1000,4625.895793
-54.644532,1000,4691.557654
-62.170544,1000,4759.242709
126.776478,898,4813.317547
211.248601,541,4846.415968
145.193178,596,4882.023511
108.843338,761,4930.803945
200.600247,535,4960.636448
247.50336,341,4980.025868
-70.831353,1000,5039.593511
186.563233,505,5069.343204
310.894231,274,5083.439121
115.124797,709,5127.504987
-22.226246,1000,5188.817186
-23.444687,1000,5251.289992
186.55315,537,5282.51891
181.69201,683,5328.649909
-107.327219,1000,5390.824817
-26.02858,1000,5449.241652
-72.431977,1000,5501.186143
-10.770936,1000,5572.082743
-51.022536,1000,5656.399404
161.643143,979,5751.716835
-57.199453,679,5789.406664
-31.268363,1000,5840.51706
-113.837334,175,5847.429605
