#{"t_start": 1760695127.3448179, "env_id": "None"}
r,l,t
-270.76495,56,2965.670501
-212.91896,87,2966.368851
-202.4836,91,2966.456184
-192.81448,93,2966.507348
-228.09909,93,2966.507439
-126.74931,110,2966.876203
-358.04837,71,2967.645806
-416.57632,50,2968.004351
-564.68756,62,2968.130242
-630.4831,67,2968.356981
-469.58908,81,2968.629019
-668.6507,77,2968.968119
-132.45825,62,2969.367129
-131.19351,62,2969.505666
-120.79282,87,2969.563753
-124.583176,76,2970.047736
-112.58356,56,2970.207358
-115.084305,51,2970.871763
-99.47002,60,2971.200173
-127.54047,73,2971.551239
-103.02227,56,2971.660463
-208.23026,120,2971.660509
-162.73042,57,2972.149876
-163.4248,76,2972.281102
-148.09845,70,2972.77099
-129.7364,68,2973.081222
-124.87125,80,2973.475559
-126.54131,83,2973.548519
-153.28294,63,2973.927063
-118.435486,61,2974.01964
-196.75081,86,2975.080433
-185.77737,78,2975.216645
-121.5306,59,2975.233417
-129.49057,59,2975.263375
-130.06122,59,2975.350785
-102.73261,83,2975.728818
-122.861664,59,2976.623386
-158.58018,62,2976.649921
-120.27908,60,2977.485662
-152.79005,88,2977.634745
-169.64763,84,2977.666629
-142.61314,53,2978.229983
-26.46901,125,2978.326424
-130.86,61,2978.396112
-120.40054,57,2978.952843
-154.10617,73,2979.140252
-109.66909,57,2979.534012
-136.57257,87,2979.618921
-147.11417,66,2979.817037
-213.31323,78,2980.511865
-132.81683,54,2980.722971
-147.66025,78,2981.081043
-142.84903,57,2981.482244
-177.3074,88,2981.883486
-165.40709,66,2982.025056
-3.2648697,107,2982.438782
-105.25309,101,2983.07895
-217.54282,69,2983.10173
-340.35162,90,2983.202326
-170.68237,71,2984.962651
-98.394905,88,2985.235791
-97.067535,110,2986.343415
-132.6251,86,2986.433471
-134.42358,88,2986.617114
-107.4701,94,2986.673261
-120.79712,69,2986.707939
-122.931145,88,2987.49145
-118.70328,52,2988.92155
-280.22144,81,2989.871364
-185.35217,78,2991.919538
-133.60837,97,2999.512547
-60.418835,84,3005.309526
-168.01706,490,3014.461862
